/* DATA DESCRIPTION:
Citation:	Parrenin, Frédéric; Loulergue, Laetitia; Wolff, Eric William (2007): EPICA Dome C Ice Core Timescales EDC3 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.671367, 
	Supplement to: Parrenin, Frédéric; Barnola, Jean-Marc; Beer, Jürg; Blunier, Thomas; Castellano, Emiliano; Chappellaz, Jérôme A; Dreyfus, Gabrielle; Fischer, Hubertus; Fujita, Shuji; Jouzel, Jean; Kawamura, Kenji; Lemieux-Dudon, Bénédicte; Loulergue, Laetitia; Masson-Delmotte, Valerie; Narcisi, Biancamaria; Petit, Jean Robert; Raisbeck, Grant M; Raynaud, Dominique; Ruth, Urs; Schwander, Jakob; Severi, Mirko; Spahni, Renato; Steffensen, Jørgen Peder; Svensson, Anders M; Udisti, Roberto; Waelbroeck, Claire; Wolff, Eric William (2007): The EDC3 chronology for the EPICA Dome C ice core. Climate of the Past, 3, 485-497, https://doi.org/10.5194/cp-3-485-2007
Abstract:	The EPICA (European Project for Ice Coring in Antarctica) Dome C drilling in East Antarctica has now been completed to a depth of 3260 m, at only a few meters above bedrock. Here we present the new EDC3 chronology, which is based on the use of 1) a snow accumulation and mechanical flow model, and 2) a set of independent age markers along the core. These are obtained by pattern matching of recorded parameters to either absolutely dated paleoclimatic records, or to insolation variations. We show that this new time scale is in excellent agreement with the Dome Fuji and Vostok ice core time scales back to 100 kyr within 1 kyr. Discrepancies larger than 3 kyr arise during MIS 5.4, 5.5 and 6, which points to anomalies in either snow accumulation or mechanical flow during these time periods. We estimate that EDC3 gives accurate event durations within 20% (2 sigma) back to MIS11 and accurate absolute ages with a maximum uncertainty of 6 kyr back to 800 kyr.
Related to:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2007): New constraints on the gas age-ice age difference along the EPICA ice cores, 0-50 kyr. Climate of the Past, 3, 527-540, https://doi.org/10.5194/cp-3-527-2007
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3189.45 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Timescale EDC3 for the EPICA Dome C ice core, both for the ice matrix and gas bubbles. The dataset gives the depth versus age timescale that has been adopted as official for the EPICA Dome C ice core. Depth refers to the official log depth of the drilling. EDC3 for the ice matrix (EDC3_ice) is described fully in Parrenin et al. (Climate of the Past, 3, 485-497, 2007). This timescale is based on an snow accumulation / ice flow model, which is further tuned with independent age markers. Gas ages are derived using a firn densification model, and are fully described in Loulergue et al. (Climate of the Past, 3, 527-540, 2007). The ages given here correspond to the scenario 4 of Loulergue et al. and where necessary can be referred to as EDC3_gas_a.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Sample ID (Sample ID) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * COMMENT: Bag number
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	Gas age [ka BP] (Gas age) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	17220 data points
*/
Depth ice/snow [m]	Sample ID	Age model [ka]	Gas age [ka BP]
116.60	213	3.000	0.595
117.15	214	3.019	0.617
117.70	215	3.037	0.638
118.25	216	3.056	0.659
118.80	217	3.074	0.679
119.35	218	3.092	0.700
119.90	219	3.110	0.723
120.45	220	3.129	0.732
121.00	221	3.147	0.737
121.55	222	3.165	0.755
122.10	223	3.186	0.776
122.65	224	3.207	0.801
123.20	225	3.227	0.823
123.75	226	3.247	0.840
124.30	227	3.267	0.859
124.85	228	3.287	0.878
125.40	229	3.307	0.903
125.95	230	3.326	0.930
126.50	231	3.346	0.941
127.05	232	3.365	0.952
127.60	233	3.385	0.977
128.15	234	3.405	1.001
128.70	235	3.425	1.020
129.25	236	3.445	1.040
129.80	237	3.465	1.063
130.35	238	3.484	1.080
130.90	239	3.503	1.094
131.45	240	3.522	1.115
132.00	241	3.541	1.136
132.55	242	3.559	1.154
133.10	243	3.578	1.173
133.65	244	3.598	1.195
134.20	245	3.618	1.215
134.75	246	3.636	1.234
135.30	247	3.654	1.253
135.85	248	3.672	1.272
136.40	249	3.691	1.285
136.95	250	3.709	1.295
137.50	251	3.727	1.322
138.05	252	3.746	1.351
138.60	253	3.764	1.365
139.15	254	3.783	1.382
139.70	255	3.802	1.400
140.25	256	3.822	1.417
140.80	257	3.842	1.433
141.35	258	3.861	1.455
141.90	259	3.881	1.482
142.45	260	3.900	1.499
143.00	261	3.920	1.513
143.55	262	3.940	1.533
144.10	263	3.960	1.554
144.65	264	3.980	1.575
145.20	265	3.999	1.596
145.75	266	4.019	1.618
146.30	267	4.038	1.638
146.85	268	4.057	1.659
147.40	269	4.076	1.683
147.95	270	4.095	1.707
148.50	271	4.115	1.721
149.05	272	4.134	1.734
149.60	273	4.154	1.756
150.15	274	4.173	1.777
150.70	275	4.193	1.794
151.25	276	4.212	1.816
151.80	277	4.231	1.843
152.35	278	4.250	1.863
152.90	279	4.269	1.878
153.45	280	4.288	1.895
154.00	281	4.307	1.911
154.55	282	4.326	1.932
155.10	283	4.347	1.954
155.65	284	4.367	1.976
156.20	285	4.387	1.995
156.75	286	4.406	2.010
157.30	287	4.426	2.032
157.85	288	4.445	2.059
158.40	289	4.465	2.078
158.95	290	4.484	2.092
159.50	291	4.503	2.110
160.05	292	4.521	2.128
160.60	293	4.542	2.147
161.15	294	4.562	2.168
161.70	295	4.582	2.193
162.25	296	4.602	2.215
162.80	297	4.622	2.235
163.35	298	4.642	2.256
163.90	299	4.661	2.277
164.45	300	4.681	2.296
165.00	301	4.701	2.315
165.55	302	4.721	2.335
166.10	303	4.741	2.354
166.65	304	4.760	2.373
167.20	305	4.781	2.393
167.75	306	4.801	2.412
168.30	307	4.821	2.434
168.85	308	4.842	2.458
169.40	309	4.863	2.480
169.95	310	4.882	2.501
170.50	311	4.901	2.519
171.05	312	4.920	2.537
171.60	313	4.939	2.561
172.15	314	4.958	2.581
172.70	315	4.978	2.593
173.25	316	4.997	2.609
173.80	317	5.018	2.630
174.35	318	5.037	2.651
174.90	319	5.057	2.672
175.45	320	5.077	2.691
176.00	321	5.097	2.709
176.55	322	5.118	2.730
177.10	323	5.137	2.751
177.65	324	5.156	2.772
178.20	325	5.175	2.791
178.75	326	5.193	2.806
179.30	327	5.212	2.823
179.85	328	5.232	2.841
180.40	329	5.253	2.862
180.95	330	5.273	2.884
181.50	331	5.293	2.905
182.05	332	5.312	2.925
182.60	333	5.332	2.945
183.15	334	5.351	2.966
183.70	335	5.370	2.988
184.25	336	5.389	3.003
184.80	337	5.409	3.012
185.35	338	5.430	3.031
185.90	339	5.453	3.055
186.45	340	5.474	3.076
187.00	341	5.495	3.095
187.55	342	5.516	3.117
188.10	343	5.539	3.143
188.65	344	5.561	3.176
189.20	345	5.580	3.200
189.75	346	5.598	3.215
190.30	347	5.617	3.231
190.85	348	5.637	3.248
191.40	349	5.657	3.269
191.95	350	5.677	3.290
192.50	351	5.697	3.314
193.05	352	5.717	3.339
193.60	353	5.736	3.361
194.15	354	5.756	3.382
194.70	355	5.774	3.398
195.25	356	5.793	3.416
195.80	357	5.811	3.435
196.35	358	5.831	3.455
196.90	359	5.850	3.475
197.45	360	5.868	3.493
198.00	361	5.887	3.511
198.55	362	5.905	3.523
199.10	363	5.926	3.538
199.65	364	5.946	3.554
200.20	365	5.967	3.575
200.75	366	5.989	3.601
201.30	367	6.009	3.623
201.85	368	6.028	3.642
202.40	369	6.047	3.658
202.95	370	6.067	3.674
203.50	371	6.087	3.698
204.05	372	6.107	3.723
204.60	373	6.127	3.742
205.15	374	6.147	3.760
205.70	375	6.166	3.774
206.25	376	6.186	3.792
206.80	377	6.205	3.812
207.35	378	6.225	3.830
207.90	379	6.245	3.848
208.45	380	6.265	3.873
209.00	381	6.286	3.899
209.55	382	6.306	3.912
210.10	383	6.326	3.925
210.65	384	6.346	3.945
211.20	385	6.367	3.966
211.75	386	6.388	3.983
212.30	387	6.409	4.005
212.85	388	6.430	4.031
213.40	389	6.449	4.051
213.95	390	6.468	4.069
214.50	391	6.487	4.082
215.05	392	6.509	4.098
215.60	393	6.531	4.125
216.15	394	6.550	4.148
216.70	395	6.570	4.162
217.25	396	6.590	4.177
217.80	397	6.612	4.195
218.35	398	6.633	4.214
218.90	399	6.654	4.233
219.45	400	6.675	4.263
220.00	401	6.695	4.294
220.55	402	6.715	4.310
221.10	403	6.735	4.325
221.65	404	6.755	4.338
222.20	405	6.775	4.354
222.75	406	6.797	4.376
223.30	407	6.818	4.399
223.85	408	6.838	4.423
224.40	409	6.858	4.445
224.95	410	6.877	4.465
225.50	411	6.895	4.481
226.05	412	6.913	4.497
226.60	413	6.933	4.514
227.15	414	6.953	4.532
227.70	415	6.974	4.555
228.25	416	6.994	4.575
228.80	417	7.013	4.589
229.35	418	7.034	4.610
229.90	419	7.056	4.633
230.45	420	7.076	4.652
231.00	421	7.097	4.670
231.55	422	7.118	4.687
232.10	423	7.139	4.704
232.65	424	7.160	4.722
233.20	425	7.183	4.743
233.75	426	7.206	4.768
234.30	427	7.228	4.789
234.85	428	7.249	4.807
235.40	429	7.270	4.831
235.95	430	7.292	4.858
236.50	431	7.311	4.875
237.05	432	7.330	4.891
237.60	433	7.349	4.906
238.15	434	7.371	4.923
238.70	435	7.392	4.940
239.25	436	7.414	4.962
239.80	437	7.436	4.988
240.35	438	7.457	5.007
240.90	439	7.478	5.021
241.45	440	7.498	5.047
242.00	441	7.519	5.075
242.55	442	7.539	5.097
243.10	443	7.557	5.117
243.65	444	7.576	5.135
244.20	445	7.595	5.150
244.75	446	7.614	5.160
245.30	447	7.633	5.177
245.85	448	7.655	5.201
246.40	449	7.676	5.227
246.95	450	7.695	5.251
247.50	451	7.714	5.263
248.05	452	7.733	5.276
248.60	453	7.753	5.306
249.15	454	7.773	5.330
249.70	455	7.792	5.339
250.25	456	7.812	5.353
250.80	457	7.833	5.373
251.35	458	7.854	5.398
251.90	459	7.874	5.425
252.45	460	7.894	5.444
253.00	461	7.913	5.461
253.55	462	7.933	5.477
254.10	463	7.953	5.493
254.65	464	7.974	5.512
255.20	465	7.995	5.530
255.75	466	8.016	5.548
256.30	467	8.038	5.563
256.85	468	8.060	5.578
257.40	469	8.083	5.604
257.95	470	8.104	5.632
258.50	471	8.124	5.646
259.05	472	8.145	5.659
259.60	473	8.168	5.676
260.15	474	8.191	5.696
260.70	475	8.213	5.718
261.25	476	8.235	5.741
261.80	477	8.256	5.764
262.35	478	8.277	5.783
262.90	479	8.298	5.799
263.45	480	8.319	5.819
264.00	481	8.340	5.840
264.55	482	8.361	5.857
265.10	483	8.383	5.874
265.65	484	8.405	5.897
266.20	485	8.427	5.920
266.75	486	8.448	5.943
267.30	487	8.468	5.963
267.85	488	8.488	5.978
268.40	489	8.508	5.999
268.95	490	8.529	6.023
269.50	491	8.550	6.042
270.05	492	8.570	6.062
270.60	493	8.589	6.082
271.15	494	8.609	6.101
271.70	495	8.629	6.116
272.25	496	8.648	6.134
272.80	497	8.668	6.154
273.35	498	8.688	6.173
273.90	499	8.709	6.190
274.45	500	8.730	6.210
275.00	501	8.750	6.230
275.55	502	8.770	6.247
276.10	503	8.790	6.265
276.65	504	8.811	6.288
277.20	505	8.833	6.312
277.75	506	8.852	6.335
278.30	507	8.872	6.355
278.85	508	8.891	6.373
279.40	509	8.911	6.391
279.95	510	8.931	6.409
280.50	511	8.950	6.433
281.05	512	8.969	6.456
281.60	513	8.988	6.472
282.15	514	9.008	6.489
282.70	515	9.027	6.509
283.25	516	9.047	6.529
283.80	517	9.066	6.548
284.35	518	9.086	6.567
284.90	519	9.105	6.587
285.45	520	9.126	6.603
286.00	521	9.147	6.618
286.55	522	9.168	6.641
287.10	523	9.187	6.664
287.65	524	9.207	6.692
288.20	525	9.224	6.713
288.75	526	9.242	6.727
289.30	527	9.262	6.742
289.85	528	9.281	6.760
290.40	529	9.301	6.781
290.95	530	9.319	6.804
291.50	531	9.338	6.822
292.05	532	9.357	6.841
292.60	533	9.376	6.862
293.15	534	9.394	6.883
293.70	535	9.412	6.905
294.25	536	9.430	6.926
294.80	537	9.447	6.943
295.35	538	9.464	6.955
295.90	539	9.484	6.964
296.45	540	9.504	6.985
297.00	541	9.523	7.008
297.55	542	9.542	7.030
298.10	543	9.561	7.053
298.65	544	9.578	7.077
299.20	545	9.596	7.098
299.75	546	9.614	7.113
300.30	547	9.633	7.133
300.85	548	9.652	7.157
301.40	549	9.669	7.176
301.95	550	9.686	7.194
302.50	551	9.704	7.215
303.05	552	9.721	7.236
303.60	553	9.738	7.258
304.15	554	9.755	7.275
304.70	555	9.772	7.282
305.25	556	9.789	7.297
305.80	557	9.809	7.322
306.35	558	9.828	7.340
306.90	559	9.847	7.354
307.45	560	9.866	7.375
308.00	561	9.884	7.396
308.55	562	9.902	7.414
309.10	563	9.920	7.433
309.65	564	9.939	7.453
310.20	565	9.957	7.473
310.75	566	9.976	7.489
311.30	567	9.994	7.509
311.85	568	10.012	7.530
312.40	569	10.029	7.548
312.95	570	10.047	7.564
313.50	571	10.065	7.577
314.05	572	10.083	7.593
314.60	573	10.101	7.623
315.15	574	10.117	7.647
315.70	575	10.134	7.660
316.25	576	10.151	7.675
316.80	577	10.169	7.692
317.35	578	10.187	7.710
317.90	579	10.205	7.727
318.45	580	10.222	7.742
319.00	581	10.241	7.756
319.55	582	10.259	7.783
320.10	583	10.278	7.809
320.65	584	10.295	7.828
321.20	585	10.313	7.845
321.75	586	10.331	7.860
322.30	587	10.350	7.877
322.85	588	10.369	7.895
323.40	589	10.388	7.917
323.95	590	10.407	7.938
324.50	591	10.426	7.965
325.05	592	10.445	7.992
325.60	593	10.462	8.018
326.15	594	10.479	8.040
326.70	595	10.495	8.054
327.25	596	10.511	8.073
327.80	597	10.527	8.096
328.35	598	10.543	8.113
328.90	599	10.562	8.128
329.45	600	10.580	8.145
330.00	601	10.599	8.161
330.55	602	10.618	8.184
331.10	603	10.637	8.206
331.65	604	10.655	8.232
332.20	605	10.673	8.253
332.75	606	10.691	8.266
333.30	607	10.708	8.282
333.85	608	10.727	8.300
334.40	609	10.746	8.320
334.95	610	10.766	8.341
335.50	611	10.784	8.365
336.05	612	10.803	8.388
336.60	613	10.821	8.407
337.15	614	10.838	8.424
337.70	615	10.856	8.439
338.25	616	10.875	8.459
338.80	617	10.895	8.485
339.35	618	10.913	8.502
339.90	619	10.931	8.515
340.45	620	10.949	8.536
341.00	621	10.969	8.558
341.55	622	10.989	8.582
342.10	623	11.006	8.603
342.65	624	11.024	8.624
343.20	625	11.042	8.642
343.75	626	11.060	8.654
344.30	627	11.079	8.671
344.85	628	11.098	8.695
345.40	629	11.117	8.712
345.95	630	11.136	8.728
346.50	631	11.157	8.757
347.05	632	11.175	8.786
347.60	633	11.192	8.805
348.15	634	11.209	8.821
348.70	635	11.228	8.832
349.25	636	11.246	8.848
349.80	637	11.265	8.872
350.35	638	11.283	8.893
350.90	639	11.302	8.912
351.45	640	11.319	8.937
352.00	641	11.336	8.964
352.55	642	11.354	8.972
353.10	643	11.373	8.984
353.65	644	11.392	9.002
354.20	645	11.411	9.023
354.75	646	11.430	9.050
355.30	647	11.448	9.073
355.85	648	11.465	9.093
356.40	649	11.482	9.112
356.95	650	11.499	9.130
357.50	651	11.516	9.140
358.05	652	11.535	9.151
358.60	653	11.554	9.171
359.15	654	11.573	9.192
359.70	655	11.593	9.213
360.25	656	11.612	9.234
360.80	657	11.631	9.252
361.35	658	11.649	9.270
361.90	659	11.667	9.288
362.45	660	11.686	9.303
363.00	661	11.704	9.317
363.55	662	11.723	9.339
364.10	663	11.742	9.360
364.65	664	11.760	9.378
365.20	665	11.779	9.393
365.75	666	11.798	9.404
366.30	667	11.820	9.422
366.85	668	11.841	9.443
367.40	669	11.863	9.463
367.95	670	11.884	9.482
368.50	671	11.905	9.498
369.05	672	11.927	9.514
369.60	673	11.949	9.538
370.15	674	11.972	9.561
370.70	675	11.993	9.580
371.25	676	12.014	9.597
371.80	677	12.037	9.612
372.35	678	12.059	9.628
372.90	679	12.082	9.646
373.45	680	12.106	9.665
374.00	681	12.131	9.687
374.55	682	12.156	9.705
375.10	683	12.181	9.724
375.65	684	12.205	9.753
376.20	685	12.227	9.776
376.75	686	12.250	9.792
377.30	687	12.273	9.807
377.85	688	12.297	9.820
