/* DATA DESCRIPTION:
Citation:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): Methane measured on ice core EDC on AICC2012 chronology [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.824883, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012) [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, https://doi.org/10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Other version:	Icecores data on AICC2012 in Excel format (URI: hdl:10013/epic.42842.d001)
Further details:	Loulergue, Laetitia; Schilt, Adrian; Spahni, Renato; Masson-Delmotte, Valerie; Blunier, Thomas; Lemieux, Bénédicte; Barnola, Jean-Marc; Raynaud, Dominique; Stocker, Thomas F; Chappellaz, Jérôme A (2008): Orbital and millennial-scale features of atmospheric CH4 over the past 800,000 years. Nature, 453(7193), 383-386, https://doi.org/10.1038/nature06950
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 99.34 m * MAXIMUM DEPTH, ice/snow: 3190.53 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr) * COMMENT: on AICC2012
	Methane [ppbv] (CH4) * PI: Loulergue, Laetitia * COMMENT: see "Further details" for the original reference of this data
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	4206 data points
*/
Depth ice/snow [m]	Gas age [ka BP]	CH4 [ppbv]
280.94	6.7713300	617.000
282.53	6.8014500	602.000
283.61	6.8730200	602.000
285.28	6.9338700	599.000
285.61	6.9490800	601.000
285.73	6.9563300	595.000
286.44	6.9992300	607.000
287.59	7.0378100	604.000
287.89	7.0379700	636.000
288.00	7.0384000	603.000
289.19	7.0595900	608.000
291.33	7.1748200	605.000
293.59	7.1918100	633.000
294.18	7.2242800	607.000
295.73	7.3245600	614.000
297.20	7.3906500	631.000
297.28	7.3943200	610.000
299.41	7.4860700	612.000
299.48	7.4887400	607.000
300.19	7.5157500	623.000
302.33	7.6547500	618.000
303.50	7.6663000	618.000
305.08	7.7096700	602.000
305.64	7.7184800	623.000
308.28	7.8410700	612.000
308.36	7.8474400	602.000
308.99	7.8701200	617.000
310.96	7.9194400	625.000
311.03	7.9220700	610.000
311.68	7.9464800	617.000
312.20	7.9467900	617.000
313.33	7.9514200	623.000
314.48	7.9951800	620.000
315.62	8.0544500	619.000
316.08	8.0796200	623.000
316.69	8.1130000	620.000
317.15	8.1331700	623.000
317.73	8.1566100	618.000
319.13	8.1914900	620.000
319.28	8.1927700	611.000
319.46	8.1942900	612.000
320.53	8.2400000	614.000
321.03	8.2868300	620.000
321.62	8.3420800	598.000
322.11	8.3509900	600.000
322.22	8.3521500	612.000
322.75	8.3532700	589.000
323.30	8.3535000	613.000
324.35	8.4153800	624.000
324.95	8.4561700	660.000
325.43	8.4841500	632.000
325.98	8.5148100	606.000
326.60	8.5493700	626.000
327.08	8.5737600	633.000
327.14	8.5767300	624.000
327.63	8.6010000	651.000
328.18	8.6282400	640.000
329.85	8.6762100	642.000
330.24	8.6948100	641.000
330.99	8.7405900	660.000
332.89	8.7811900	647.000
333.03	8.7812200	649.000
334.73	8.8437600	665.000
335.64	8.8910900	648.000
335.78	8.8987400	660.000
337.53	8.9651600	654.000
338.08	8.9779400	654.000
340.13	9.0323300	662.000
340.83	9.0465600	657.000
343.31	9.1258800	671.000
343.48	9.1329900	659.000
345.23	9.2095800	675.000
346.64	9.2798900	676.000
346.78	9.2855700	658.000
348.61	9.3469200	674.000
349.08	9.3527700	657.000
350.76	9.3956300	648.000
351.85	9.4259100	671.000
354.12	9.4912200	664.000
355.51	9.5171600	671.000
355.58	9.5174100	665.000
357.10	9.5195400	664.000
357.23	9.5205300	665.000
357.94	9.5259400	666.000
359.53	9.5500000	663.000
361.73	9.5655600	675.000
362.51	9.5703700	671.000
362.73	9.5717300	674.000
365.09	9.6521700	676.000
367.30	9.7777000	675.000
368.88	9.8648300	682.000
369.49	9.8978000	685.000
370.84	9.9713400	689.000
370.98	9.9789800	683.000
372.74	10.0596000	693.000
374.38	10.1165000	676.000
374.99	10.1330000	674.000
376.76	10.1786000	670.000
377.03	10.1862000	682.000
378.24	10.2274000	675.000
379.33	10.2781000	685.000
381.53	10.3433000	678.000
383.85	10.4416000	717.000
385.34	10.5155000	698.000
387.83	10.6403000	694.000
388.09	10.6701000	678.000
389.26	10.8009000	682.000
389.78	10.8016000	688.000
392.98	10.8040000	672.000
393.53	10.8256000	661.000
395.23	10.8708000	669.000
396.24	10.9421000	652.000
398.79	11.0655000	671.000
399.03	11.0773000	666.000
400.26	11.1287000	685.000
401.33	11.1579000	681.000
404.36	11.1896000	694.000
404.53	11.1941000	673.000
405.81	11.2275000	679.000
407.24	11.3028000	703.000
410.87	11.5095000	650.000
411.13	11.5163000	633.000
412.51	11.5305000	653.000
412.78	11.5396000	654.000
415.08	11.5403000	665.000
418.02	11.5479000	643.000
418.28	11.5517000	559.000
421.13	11.6469000	469.000
426.80	11.9845000	488.000
427.08	12.0021000	468.000
429.24	12.1376000	477.000
431.26	12.2775000	462.000
431.48	12.2942000	483.000
434.33	12.4214000	462.000
436.81	12.4958000	480.000
436.98	12.5007000	467.000
438.28	12.5541000	479.000
443.13	12.7862000	542.000
445.64	12.9278000	651.000
445.78	12.9368000	627.000
448.08	13.1263000	643.000
450.47	13.3867000	610.000
450.73	13.4121000	646.000
453.11	13.5843000	661.000
453.58	13.6022000	662.000
456.61	13.7116000	670.000
456.78	13.7176000	653.000
460.14	13.9307000	646.000
461.92	14.0649000	628.000
463.16	14.1547000	625.000
463.38	14.1706000	619.000
464.58	14.2243000	613.000
466.84	14.2506000	619.000
467.11	14.2544000	623.000
467.31	14.2590000	630.000
469.53	14.3453000	612.000
472.94	14.5726000	578.000
473.10	14.5835000	597.000
474.04	14.6329000	569.000
479.43	14.8033000	465.000
479.87	14.8156000	476.000
483.83	15.1135000	461.000
484.05	15.1329000	470.000
484.18	15.1444000	469.000
486.99	15.4007000	459.000
489.77	15.6346000	470.000
491.53	15.7610000	476.000
495.61	15.9158000	463.000
495.83	15.9260000	451.000
498.68	16.0393000	452.000
501.14	16.1210000	441.000
501.33	16.1266000	456.000
505.90	16.6316000	441.000
506.20	16.6752000	438.000
506.28	16.6868000	473.000
508.99	16.9569000	419.000
511.38	17.1164000	424.000
511.77	17.1405000	427.000
514.48	17.2767000	405.000
516.87	17.3618000	409.000
517.08	17.3724000	404.000
519.56	17.5943000	408.000
519.70	17.6107000	381.000
522.40	18.0996000	395.000
522.69	18.1517000	389.000
525.60	18.4532000	371.000
527.85	18.5939000	375.000
528.11	18.6106000	366.000
528.24	18.6196000	384.000
530.95	18.8722000	366.000
532.42	19.0511000	377.000
532.63	19.0768000	371.000
536.44	19.4170000	375.000
538.82	19.5667000	371.000
539.07	19.5805000	378.000
539.22	19.5887000	371.000
543.41	19.8557000	373.000
543.59	19.8656000	379.000
548.51	20.1283000	366.000
549.95	20.1966000	358.000
550.20	20.2091000	377.000
552.50	20.3953000	356.000
552.66	20.4115000	351.000
555.71	20.7819000	374.000
557.44	21.0045000	375.000
561.16	21.4289000	384.000
561.19	21.4290000	367.000
563.88	21.5420000	378.000
566.42	21.6746000	365.000
569.37	21.7899000	354.000
572.16	21.9300000	357.000
575.55	22.1128000	357.000
577.85	22.2069000	355.000
585.43	22.7753000	407.000
587.65	22.9318000	385.000
590.31	23.0000000	390.000
592.04	23.1634000	390.000
594.22	23.3861000	390.000
596.90	23.5578000	386.000
598.61	23.8552000	398.000
600.82	24.1208000	375.000
603.00	24.3339000	360.000
605.19	24.5871000	373.000
607.39	24.9854000	389.000
609.61	25.2024000	372.000
613.98	25.7264000	370.000
616.68	25.9856000	365.000
618.86	26.2325000	355.000
620.58	26.3851000	364.000
627.17	27.0907000	396.000
629.87	27.3666000	387.000
631.56	27.5299000	386.000
634.23	27.6160000	396.000
635.95	27.7679000	406.000
638.13	27.9356000	426.000
640.34	28.2135000	382.000
643.04	28.4470000	399.000
644.74	28.5185000	402.000
646.91	28.5272000	414.000
649.60	28.9203000	444.000
653.50	29.1623000	388.000
656.18	29.3431000	368.000
660.11	29.7841000	391.000
662.79	30.2099000	399.000
664.50	30.4027000	392.000
669.39	30.8686000	410.000
671.08	31.0122000	408.000
673.26	31.1436000	392.000
675.48	31.4876000	404.000
677.66	31.6637000	412.000
681.56	31.9822000	427.000
682.05	31.9871000	422.000
683.10	31.9894000	441.000
684.87	32.0094000	457.000
685.97	32.2177000	471.000
686.88	32.3425000	431.000
688.15	32.4577000	452.000
688.65	32.5034000	409.000
690.37	32.7368000	410.000
690.85	32.8352000	405.000
691.88	33.0203000	404.000
692.53	33.1215000	415.000
693.54	33.2226000	432.000
694.79	33.2836000	424.000
695.24	33.2956000	428.000
696.28	33.3235000	440.000
696.94	33.3716000	443.000
697.41	33.4065000	444.000
699.63	33.6562000	461.000
701.80	33.9071000	479.000
702.41	33.9904000	426.000
703.51	34.1556000	415.000
704.00	34.2346000	419.000
705.75	34.4568000	420.000
706.22	34.5075000	430.000
707.25	34.5377000	430.000
708.91	34.6781000	428.000
711.08	34.7081000	447.000
711.64	34.7338000	457.000
712.81	34.7996000	489.000
715.43	35.0739000	519.000
715.49	35.0804000	520.000
716.04	35.1400000	513.000
717.17	35.2124000	514.000
718.87	35.3931000	498.000
719.41	35.4625000	492.000
720.37	35.5402000	427.000
722.17	35.6761000	421.000
723.79	35.8346000	444.000
724.76	35.9478000	426.000
725.49	36.0393000	425.000
725.98	36.1007000	441.000
727.01	36.1494000	440.000
728.18	36.2520000	441.000
730.31	36.4564000	471.000
730.86	36.4832000	469.000
732.52	36.5989000	494.000
733.60	36.7139000	524.000
736.89	37.0764000	534.000
737.41	37.1121000	534.000
739.03	37.1804000	587.000
739.62	37.2238000	536.000
739.74	37.2343000	548.000
740.88	37.3333000	572.000
741.82	37.3986000	563.000
742.26	37.4292000	580.000
743.48	37.5485000	560.000
743.63	37.5643000	557.000
744.19	37.6190000	544.000
745.74	37.6300000	547.000
746.71	37.6795000	539.000
747.87	37.7739000	540.000
748.41	37.8442000	481.000
750.13	38.0915000	526.000
752.34	38.2991000	443.000
754.52	38.4260000	440.000
758.89	38.7712000	455.000
761.61	38.9018000	441.000
763.28	39.0612000	450.000
765.48	39.2793000	444.000
767.68	39.4618000	427.000
769.52	39.6202000	419.000
769.87	39.6249000	419.000
770.02	39.6268000	411.000
772.18	39.7129000	424.000
772.55	39.7364000	422.000
772.77	39.7505000	414.000
773.78	39.8153000	442.000
774.26	39.8855000	448.000
774.34	39.8983000	440.000
775.19	40.0345000	450.000
776.04	40.0916000	429.000
776.58	40.0990000	420.000
778.65	40.3857000	413.000
778.78	40.4098000	419.000
780.38	40.5502000	426.000
780.85	40.5918000	447.000
781.00	40.6051000	422.000
781.90	40.6851000	433.000
783.05	40.7318000	420.000
783.18	40.7358000	434.000
783.65	40.7501000	433.000
784.28	40.7915000	442.000
784.88	40.8348000	457.000
785.24	40.8609000	465.000
785.33	40.8674000	462.000
786.30	40.9824000	465.000
786.52	41.0093000	465.000
787.51	41.1305000	467.000
789.78	41.3965000	458.000
792.00	41.6943000	414.000
793.72	41.8950000	429.000
794.83	42.0169000	416.000
796.38	42.1109000	415.000
798.51	42.2738000	456.000
800.78	42.5413000	446.000
802.93	42.7668000	471.000
803.54	42.8248000	470.000
805.18	42.9317000	486.000
806.16	43.0337000	482.000
808.52	43.3774000	463.000
809.58	43.4328000	437.000
811.37	43.6367000	415.000
814.02	43.8686000	411.000
817.28	44.2133000	431.000
819.58	44.3170000	427.000
822.16	44.4961000	469.000
825.57	44.6528000	462.000
828.28	44.8344000	490.000
830.52	45.0818000	467.000
833.78	45.3936000	487.000
835.99	45.5653000	499.000
840.32	46.0312000	497.000
842.04	46.2023000	514.000
844.67	46.2701000	499.000
847.02	46.5528000	493.000
850.11	46.8616000	440.000
852.59	47.0537000	432.000
852.98	47.0863000	441.000
855.78	47.3184000	425.000
858.05	47.5746000	437.000
861.08	47.9552000	453.000
863.52	48.4023000	414.000
869.02	48.9717000	435.000
871.82	49.3015000	461.000
875.04	49.7045000	464.000
877.77	49.9807000	434.000
880.53	50.1443000	452.000
882.70	50.3745000	492.000
886.04	50.6101000	470.000
888.78	50.8722000	489.000
891.02	51.1389000	493.000
894.28	51.4867000	510.000
896.55	51.7534000	515.000
899.78	52.0678000	544.000
902.02	52.2768000	517.000
905.28	52.5621000	531.000
908.03	52.7388000	527.000
910.70	53.0694000	567.000
913.02	53.2485000	543.000
916.28	53.4945000	529.000
918.52	53.7383000	530.000
921.27	53.8636000	535.000
924.02	54.0445000	513.000
927.28	54.4676000	438.000
929.52	54.5746000	438.000
932.27	54.8283000	437.000
935.53	55.0769000	462.000
940.52	55.6199000	476.000
943.75	55.8220000	514.000
946.02	56.0823000	461.000
949.28	56.4611000	466.000
951.43	56.7649000	534.000
951.54	56.7799000	483.000
957.02	57.2899000	546.000
960.28	57.5977000	550.000
962.52	57.8119000	543.000
963.03	57.8431000	554.000
968.02	58.1920000	542.000
971.28	58.5807000	515.000
973.52	58.7460000	520.000
976.78	59.0795000	561.000
979.02	59.2113000	554.000
981.77	59.3554000	502.000
984.52	59.5732000	523.000
987.78	59.8798000	454.000
990.02	60.1010000	442.000
993.28	60.4585000	435.000
995.52	60.6763000	425.000
998.78	61.0349000	443.000
1001.02	61.2881000	426.000
1004.28	61.6542000	430.000
1006.52	61.8217000	425.000
1009.27	62.0976000	412.000
1009.78	62.1741000	437.000
1012.02	62.3425000	432.000
1018.03	62.9819000	431.000
1020.78	63.3389000	439.000
1023.02	63.5728000	430.000
1026.28	63.9112000	444.000
1028.52	64.1916000	444.000
1031.78	64.5932000	468.000
1034.02	64.7891000	484.000
1037.28	64.9161000	489.000
1039.51	65.1698000	434.000
1042.78	65.8063000	440.000
1045.53	66.1615000	462.000
1048.28	66.5459000	461.000
1050.52	66.8873000	457.000
1053.78	67.4012000	476.000
1056.51	67.8263000	444.000
1059.28	68.2112000	461.000
1061.52	68.4291000	449.000
1064.78	68.8153000	459.000
1067.02	69.1271000	453.000
1070.28	69.5094000	471.000
1073.03	69.7253000	480.000
1075.78	70.0113000	451.000
1078.02	70.3213000	456.000
1081.28	70.5113000	474.000
1083.52	70.8520000	460.000
1086.78	71.1442000	462.000
1089.02	71.2987000	450.000
1092.27	71.5427000	490.000
1094.52	71.7015000	473.000
1097.78	71.9062000	470.000
1100.02	72.0218000	475.000
1102.77	72.2314000	482.000
1105.55	72.5720000	449.000
1108.27	72.7821000	431.000
1111.02	73.0278000	432.000
1113.77	73.3057000	432.000
1116.52	73.6746000	457.000
1119.27	74.1072000	453.000
1122.02	74.3468000	448.000
1124.77	74.5562000	452.000
1127.57	74.8412000	451.000
1130.27	75.0692000	461.000
1133.02	75.2466000	469.000
1135.77	75.4563000	467.000
1138.52	75.7058000	477.000
1141.27	75.8632000	461.000
1144.02	76.2689000	416.000
1146.77	76.6494000	415.000
1149.52	76.9687000	424.000
1152.27	77.3633000	438.000
1155.02	77.7233000	422.000
1157.77	77.9559000	466.000
1160.52	78.2091000	442.000
1163.27	78.4929000	442.000
1166.02	78.6960000	472.000
1168.77	78.9391000	475.000
1171.52	79.2703000	450.000
1174.27	79.5206000	463.000
1177.02	79.7162000	477.000
1179.22	79.9122000	487.000
1182.55	80.1330000	497.000
1185.27	80.3415000	512.000
1188.02	80.6157000	515.000
1190.77	80.7430000	515.000
1193.52	80.9783000	536.000
1196.27	81.1524000	563.000
1199.02	81.3868000	535.000
1201.77	81.5790000	550.000
1204.52	81.8233000	549.000
1207.27	82.0198000	548.000
1210.52	82.3214000	584.000
1212.82	82.5127000	576.000
1215.52	82.6628000	595.000
1218.27	82.8151000	571.000
