/* DATA DESCRIPTION:
Citation:	Gkinis, Vasileios; Dahl-Jensen, Dorthe; Steffensen, Jørgen Peder; Vinther, Bo Møllesøe; Landais, Amaëlle; Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Minster, Bénédicte; Grisart, Antoine; Hörhold, Maria; Stenni, Barbara; Selmo, Enricomaria (2021): Oxygen-18 isotope ratios from the EPICA Dome C ice core at 11 cm resolution [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.939445
Abstract:	Abstract: We present here a high resolution (0.11 m) dataset of the isotopic composition of the ice (δ¹⁸O) from the EPICA Dome-C ice core. The dataset covers the depth range 7.81-3189.89 m (0.05-802.427 ka). Analysis is performed in Copenhagen with a CO~2~ equilibration Mass Spectrometry system (Finnegan MAT 251). Samples of 5 ml are equilibrated with CO~2~ for 6 hours under vibrations, thereafter injected to the mass spectrometer where the ¹⁸O/¹⁶O ratio is obtained on masses 46 and 44. All measurements reported on the SMOW-SLAP scale using a 2-point linear calibration (standards used: Crete: -33.61 ‰ and DC02: -54.11 ‰ . The combined uncertainty of the record is 0.07 ‰. We interpolate the dataset on the AICC2012 chronology.
Keyword(s):	Antarctica; d18O; Dome C; EPICA; ice cores; Isotope ratio; mass spectrometry; water isotopes
Related to:	Gkinis, Vasileios (2011): High resolution water isotope data from ice cores. Zenodo, https://doi.org/10.5281/zenodo.5653088
	Landais, Amaëlle; Masson-Delmotte, Valerie; Stenni, Barbara; Selmo, Enricomaria; Roche, D M; Jouzel, Jean; Lambert, Fabrice; Guillevic, Myriam; Bazin, Lucie; Arzel, O; Vinther, Bo Møllesøe; Gkinis, Vasileios; Popp, Trevor (2015): A review of the bipolar see–saw from synchronized and high resolution ice core water stable isotope records from Greenland and East Antarctica. Quaternary Science Reviews, 114, 18-32, https://doi.org/10.1016/j.quascirev.2015.01.031
Further details:	Seierstad, Inger K; Johnsen, Sigfús Jóhann; Vinther, Bo Møllesøe; Olsen, Jesper (2005): The duration of the Bølling-Allerød period (Greenland Interstadial 1) in the GRIP ice core. Annals of Glaciology, 42, 337-344, https://doi.org/10.3189/172756405781812556
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, sediment/rock: 7.755 m * MAXIMUM DEPTH, sediment/rock: 3189.835 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	The record is not continuous and presents 14 gaps in the following depth ranges:
	1. 120.01 - 120.67 (7 samples)
	2. 234.41 - 234.85 (5 samples)
	3. 288.86 - 290.40 (15 samples)
	4. 656.81 - 659.45 (28 samples)
	5. 1528.56 - 1539.45 (100 samples)
	6. 1583.56 - 1594.45 (100 samples)
	7. 1638.56 - 1649.45 (100 samples)
	8. 1693.56 - 1704.45 (100 samples)
	9. 1748.56 - 1759.45 (100 samples)
	10. 1803.56 - 1814.45 (100 samples)
	11. 2141.81 - 2144.45 (25 samples)
	12. 2238.06 - 2239.6 (15 samples)
	13. 2249.06 - 2317.7 (625 samples)
	14. 2756.16 - 2794.55 (350 samples)
Parameter(s):	Depth, top/min [m] (Depth top) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Depth, bottom/max [m] (Depth bot) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558)
	Age, dated [ka] (Age dated) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013)
	δ18O [‰] (δ18O) * PI: Gkinis, Vasileios (https://orcid.org/0000-0002-5910-1549, v.gkinis@nbi.ku.dk, http://www.nbi.ku.dk/english/staff/?pure=en/persons/339558) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	114049 data points
*/
Depth top [m]	Depth bot [m]	Depth sed [m]	Age dated [ka]	δ18O [‰]
21.78	21.89	21.835	0.31984	-50.52
21.89	22.00	21.945	0.32227	-51.26
22.00	22.11	22.055	0.32471	-51.49
22.11	22.22	22.165	0.32715	-50.69
22.22	22.33	22.275	0.32958	-50.00
22.33	22.44	22.385	0.33202	-51.39
22.44	22.55	22.495	0.33446	-50.87
22.55	22.66	22.605	0.33689	-50.75
22.66	22.77	22.715	0.33933	-51.73
22.77	22.88	22.825	0.34177	-51.03
22.88	22.99	22.935	0.34420	-49.66
22.99	23.10	23.045	0.34664	-51.12
23.10	23.21	23.155	0.34919	-51.25
23.21	23.32	23.265	0.35174	-50.19
23.32	23.43	23.375	0.35429	-50.08
23.43	23.54	23.485	0.35684	-50.79
23.54	23.65	23.595	0.35939	-52.00
23.65	23.76	23.705	0.36194	-52.10
23.76	23.87	23.815	0.36449	-51.95
23.87	23.98	23.925	0.36704	-51.11
23.98	24.09	24.035	0.36959	-49.86
24.09	24.20	24.145	0.37214	-50.38
24.20	24.31	24.255	0.37469	-50.71
24.31	24.42	24.365	0.37724	-51.35
24.42	24.53	24.475	0.37979	-50.94
24.53	24.64	24.585	0.38234	-51.26
24.64	24.75	24.695	0.38489	-51.59
24.75	24.86	24.805	0.38748	-51.88
24.86	24.97	24.915	0.39007	-52.17
24.97	25.08	25.025	0.39266	-51.59
25.08	25.19	25.135	0.39525	-50.67
25.19	25.30	25.245	0.39784	-50.80
25.30	25.41	25.355	0.40043	-52.24
25.41	25.52	25.465	0.40302	-50.46
25.52	25.63	25.575	0.40561	-49.96
25.63	25.74	25.685	0.40820	-50.26
25.74	25.85	25.795	0.41079	-50.62
25.85	25.96	25.905	0.41338	-50.95
25.96	26.07	26.015	0.41597	-50.82
26.07	26.18	26.125	0.41856	-50.96
26.18	26.29	26.235	0.42115	-50.00
26.29	26.40	26.345	0.42374	-49.77
26.40	26.51	26.455	0.42627	-49.23
26.51	26.62	26.565	0.42880	-51.00
26.62	26.73	26.675	0.43133	-51.60
26.73	26.84	26.785	0.43386	-49.84
26.84	26.95	26.895	0.43639	-49.36
26.95	27.06	27.005	0.43892	-50.99
27.06	27.17	27.115	0.44145	-50.36
27.17	27.28	27.225	0.44399	-51.95
27.28	27.39	27.335	0.44652	-52.44
27.39	27.50	27.445	0.44905	-52.00
27.50	27.61	27.555	0.45158	-50.44
27.61	27.72	27.665	0.45411	-50.08
27.72	27.83	27.775	0.45664	-50.38
27.83	27.94	27.885	0.45917	-50.86
27.94	28.05	27.995	0.46170	-49.56
28.05	28.16	28.105	0.46427	-49.40
28.16	28.27	28.215	0.46683	-49.33
28.27	28.38	28.325	0.46940	-50.50
28.38	28.49	28.435	0.47197	-51.35
28.49	28.60	28.545	0.47453	-50.75
28.60	28.71	28.655	0.47710	-50.93
28.71	28.82	28.765	0.47967	-52.48
28.82	28.93	28.875	0.48223	-51.15
28.93	29.04	28.985	0.48480	-49.36
29.04	29.15	29.095	0.48737	-50.43
29.15	29.26	29.205	0.48993	-51.05
29.26	29.37	29.315	0.49250	-50.68
29.37	29.48	29.425	0.49507	-50.99
29.48	29.59	29.535	0.49763	-52.31
29.59	29.70	29.645	0.50020	-52.12
29.70	29.81	29.755	0.50284	-50.75
29.81	29.92	29.865	0.50549	-49.57
29.92	30.03	29.975	0.50813	-50.80
30.03	30.14	30.085	0.51078	-49.72
30.14	30.25	30.195	0.51342	-49.01
30.25	30.36	30.305	0.51606	-50.54
30.36	30.47	30.415	0.51871	-51.69
30.47	30.58	30.525	0.52135	-51.95
30.58	30.69	30.635	0.52400	-53.53
30.69	30.80	30.745	0.52664	-53.17
30.80	30.91	30.855	0.52928	-51.81
30.91	31.02	30.965	0.53193	-51.27
31.02	31.13	31.075	0.53457	-51.38
31.13	31.24	31.185	0.53722	-51.08
31.24	31.35	31.295	0.53986	-50.24
31.35	31.46	31.405	0.54250	-49.65
31.46	31.57	31.515	0.54515	-51.89
31.57	31.68	31.625	0.54779	-52.77
31.68	31.79	31.735	0.55044	-51.02
31.79	31.90	31.845	0.55308	-49.78
31.90	32.01	31.955	0.55572	-48.97
32.01	32.12	32.065	0.55837	-49.63
32.12	32.23	32.175	0.56101	-49.94
32.23	32.34	32.285	0.56366	-48.90
32.34	32.45	32.395	0.56630	-48.62
32.45	32.56	32.505	0.56894	-47.37
32.56	32.67	32.615	0.57159	-48.60
32.67	32.78	32.725	0.57423	-51.37
32.78	32.89	32.835	0.57688	-52.26
32.89	33.00	32.945	0.57952	-51.62
33.00	33.11	33.055	0.58210	-51.68
33.11	33.22	33.165	0.58467	-51.72
33.22	33.33	33.275	0.58725	-51.28
33.33	33.44	33.385	0.58982	-51.06
33.44	33.55	33.495	0.59240	-51.01
33.55	33.66	33.605	0.59497	-51.92
33.66	33.77	33.715	0.59755	-50.42
33.77	33.88	33.825	0.60012	-48.68
33.88	33.99	33.935	0.60270	-48.17
33.99	34.10	34.045	0.60527	-49.11
34.10	34.21	34.155	0.60785	-47.86
34.21	34.32	34.265	0.61042	-50.56
34.32	34.43	34.375	0.61300	-51.41
34.43	34.54	34.485	0.61557	-50.95
34.54	34.65	34.595	0.61815	-51.62
34.65	34.76	34.705	0.62066	-52.27
34.76	34.87	34.815	0.62317	-52.59
34.87	34.98	34.925	0.62568	-52.13
34.98	35.09	35.035	0.62819	-50.23
35.09	35.20	35.145	0.63070	-49.68
35.20	35.31	35.255	0.63321	-49.30
35.31	35.42	35.365	0.63572	-49.35
35.42	35.53	35.475	0.63823	-49.33
35.53	35.64	35.585	0.64074	-49.12
35.64	35.75	35.695	0.64325	-50.02
35.75	35.86	35.805	0.64576	-50.52
35.86	35.97	35.915	0.64827	-49.41
35.97	36.08	36.025	0.65078	-48.96
36.08	36.19	36.135	0.65329	-50.22
36.19	36.30	36.245	0.65580	-50.77
36.30	36.41	36.355	0.65853	-51.08
36.41	36.52	36.465	0.66126	-50.56
36.52	36.63	36.575	0.66399	-49.66
36.63	36.74	36.685	0.66672	-50.02
36.74	36.85	36.795	0.66945	-51.17
36.85	36.96	36.905	0.67218	-51.05
36.96	37.07	37.015	0.67491	-50.74
37.07	37.18	37.125	0.67763	-50.56
37.18	37.29	37.235	0.68036	-51.05
37.29	37.40	37.345	0.68309	-51.86
37.40	37.51	37.455	0.68582	-51.18
37.51	37.62	37.565	0.68855	-50.05
37.62	37.73	37.675	0.69128	-50.57
37.73	37.84	37.785	0.69401	-51.42
37.84	37.95	37.895	0.69674	-50.96
37.95	38.06	38.005	0.69964	-52.22
38.06	38.17	38.115	0.70254	-51.89
38.17	38.28	38.225	0.70544	-50.22
38.28	38.39	38.335	0.70835	-49.47
38.39	38.50	38.445	0.71125	-49.38
38.50	38.61	38.555	0.71415	-50.72
38.61	38.72	38.665	0.71705	-51.25
38.72	38.83	38.775	0.71995	-50.43
38.83	38.94	38.885	0.72285	-50.85
38.94	39.05	38.995	0.72575	-50.69
39.05	39.16	39.105	0.72865	-50.76
39.16	39.27	39.215	0.73156	-51.95
39.27	39.38	39.325	0.73446	-52.00
39.38	39.49	39.435	0.73736	-51.14
39.49	39.60	39.545	0.74026	-51.30
39.60	39.71	39.655	0.74318	-51.28
39.71	39.82	39.765	0.74610	-51.55
39.82	39.93	39.875	0.74902	-51.96
39.93	40.04	39.985	0.75194	-52.15
40.04	40.15	40.095	0.75486	-52.26
40.15	40.26	40.205	0.75778	-51.19
40.26	40.37	40.315	0.76070	-51.47
40.37	40.48	40.425	0.76362	-51.54
40.48	40.59	40.535	0.76654	-51.45
40.59	40.70	40.645	0.76946	-50.91
40.70	40.81	40.755	0.77238	-50.31
40.81	40.92	40.865	0.77530	-49.65
40.92	41.03	40.975	0.77822	-50.17
41.03	41.14	41.085	0.78114	-51.16
41.14	41.25	41.195	0.78406	-51.40
41.25	41.36	41.305	0.78678	-50.77
41.36	41.47	41.415	0.78949	-51.37
41.47	41.58	41.525	0.79221	-52.00
41.58	41.69	41.635	0.79492	-50.52
41.69	41.80	41.745	0.79764	-49.23
41.80	41.91	41.855	0.80036	-48.78
41.91	42.02	41.965	0.80307	-49.21
42.02	42.13	42.075	0.80579	-51.47
42.13	42.24	42.185	0.80850	-51.78
42.24	42.35	42.295	0.81122	-51.21
42.35	42.46	42.405	0.81394	-50.47
42.46	42.57	42.515	0.81665	-50.36
42.57	42.68	42.625	0.81937	-50.46
42.68	42.79	42.735	0.82208	-50.30
42.79	42.90	42.845	0.82480	-52.53
42.90	43.01	42.955	0.82735	-52.46
43.01	43.12	43.065	0.82990	-50.67
43.12	43.23	43.175	0.83245	-49.75
43.23	43.34	43.285	0.83500	-49.37
43.34	43.45	43.395	0.83755	-47.45
43.45	43.56	43.505	0.84010	-48.29
43.56	43.67	43.615	0.84265	-50.52
43.67	43.78	43.725	0.84520	-51.13
43.78	43.89	43.835	0.84775	-50.62
43.89	44.00	43.945	0.85030	-50.08
44.00	44.11	44.055	0.85285	-50.32
44.11	44.22	44.165	0.85540	-50.19
44.22	44.33	44.275	0.85795	-50.03
44.33	44.44	44.385	0.86050	-49.73
44.44	44.55	44.495	0.86305	-49.61
44.55	44.66	44.605	0.86578	-48.15
44.66	44.77	44.715	0.86850	-48.86
44.77	44.88	44.825	0.87123	-50.03
44.88	44.99	44.935	0.87395	-50.47
44.99	45.10	45.045	0.87668	-51.38
45.10	45.21	45.155	0.87941	-51.51
45.21	45.32	45.265	0.88213	-50.87
45.32	45.43	45.375	0.88486	-50.97
45.43	45.54	45.485	0.88758	-52.02
45.54	45.65	45.595	0.89031	-52.15
45.65	45.76	45.705	0.89304	-52.71
45.76	45.87	45.815	0.89576	-50.69
45.87	45.98	45.925	0.89849	-47.41
45.98	46.09	46.035	0.90121	-48.72
46.09	46.20	46.145	0.90394	-51.53
46.20	46.31	46.255	0.90686	-52.15
46.31	46.42	46.365	0.90978	-51.86
46.42	46.53	46.475	0.91271	-51.61
46.53	46.64	46.585	0.91563	-51.50
46.64	46.75	46.695	0.91855	-51.27
46.75	46.86	46.805	0.92147	-50.31
46.86	46.97	46.915	0.92439	-49.63
46.97	47.08	47.025	0.92732	-49.22
47.08	47.19	47.135	0.93024	-50.77
47.19	47.30	47.245	0.93316	-51.11
47.30	47.41	47.355	0.93608	-50.38
47.41	47.52	47.465	0.93900	-51.26
47.52	47.63	47.575	0.94193	-52.02
47.63	47.74	47.685	0.94485	-52.58
47.74	47.85	47.795	0.94777	-52.08
47.85	47.96	47.905	0.95076	-51.94
47.96	48.07	48.015	0.95374	-52.16
48.07	48.18	48.125	0.95673	-51.68
48.18	48.29	48.235	0.95971	-50.38
48.29	48.40	48.345	0.96270	-50.35
48.40	48.51	48.455	0.96569	-50.47
48.51	48.62	48.565	0.96867	-51.28
48.62	48.73	48.675	0.97166	-51.33
48.73	48.84	48.785	0.97464	-51.46
48.84	48.95	48.895	0.97763	-51.38
48.95	49.06	49.005	0.98062	-50.88
49.06	49.17	49.115	0.98360	-51.03
49.17	49.28	49.225	0.98659	-51.57
49.28	49.39	49.335	0.98957	-52.02
